FES-IDF-A,FES-IDF-A,10.100.101.81,172.16.50.4,Brocade,2,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P04Y:DUI3832P07B:,
FES-IDF-B,FES-IDF-B,10.100.101.82,172.16.50.5,Brocade,1,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P05V:,
FES-MDF,FES-MDF,10.100.101.80,172.16.50.3,Brocade,2,ICX7450-48P POE 48-port Management Module,SPR08090k,CYR3343N02A:CYU3309N017:,
FIS-IDF-A,FIS-IDF-A,10.100.101.162,172.17.144.4,Brocade,1,ICX6450-48p POE 48-port Management Module,ICX64R08010m,BZT3220L04E:,
FIS-MDF,FIS-MDF,10.100.101.161,172.17.144.3,Brocade,2,ICX6450-48p POE 48-port Management Module,ICX64R08010m,BZT3220L043:BZT3220L046:,
FMS-IDF-A,FMS-IDF-A,10.100.101.65,172.18.32.4,Brocade,2,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P04Z:DUI3832P07C:,
FMS-IDF-B,FMS-IDF-B,10.100.101.66,172.18.32.5,Brocade,2,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P04W:DUI3832P07H:,
FMS-IDF-C,FMS-IDF-C,10.100.101.67,172.18.32.6,Brocade,2,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P04S:DUK3812P055:,
FMS-MDF,FMS-MDF,10.100.101.64,172.18.32.3,Brocade,2,ICX7450-48P POE 48-port Management Module,SPR08090k,CYR3343N076:CYR3343N0AG:,
FRMS-IDF-A,FRMS-IDF-A,10.100.101.33,172.17.192.4,Brocade,1,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P12F:,
FRMS-IDF-B,FRMS-IDF-B,10.100.101.34,172.17.192.5,Brocade,1,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P135:,
FRMS-IDF-C,FRMS-IDF-C,10.100.101.35,172.17.192.6,Brocade,1,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P13N:,
FRMS-IDF-D,FRMS-IDF-D,10.100.101.36,172.17.192.7,Brocade,1,ICX7250-48P POE 48-port Management Module,SPR08090k,DUK3812P131:,
FRMS-MDF,FRMS-MDF,10.100.101.32,172.17.192.3,Brocade,2,ICX7450-48P POE 48-port Management Module,SPR08090k,CYR3343N0AW:CYR3343N07T:,
