DCG000044,S005-Burgess-Magistrate-Court,10.100.128.10,172.31.40.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0212446219:GB0214135897:,
DCG000045,S005-Burgess-PS-Gfl,10.100.129.126,172.31.26.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214320164:,
DCG000046,S005-Burgess-PS-1fl,10.100.129.8,172.31.27.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214136580:,
DCG000047,S005-Burgess-PS-TRAFF,10.100.129.127,172.31.27.5,Juniper,3,ex3400-48p,18.2R3-S7.4,NY3619160662:NY3619100326:NY0217510392:,
DCG000048,S005-Burgess-AnimalSrv,10.100.129.6,172.31.25.4,Juniper,1,ex3400-48p,20.2R3.9,NY3621250193:,
DCG000049,S005-Burgess-PS-911,10.100.129.5,172.16.35.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214270382:,
DCG000050,S005-Burgess-PS-3fl,10.100.129.4,172.31.175.6,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214320010:,
DCG000051,S005-Burgess-PS-ELS,10.100.129.128,172.31.29.4,Juniper,1,ex2300-48p,15.1X53-D593.4,JW0218440223:,
DCG000052,S005-Burgess-PS-2fl,10.100.129.3,172.31.178.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0213325683:,
DCG000053,S005-Burgess-IT-2fl-1,10.100.129.93,172.27.71.4,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3714210375:PD3717050333:,
DCG000054,S005-Burgess-IT-2fl-2,10.100.129.94,172.27.72.4,Juniper,1,ex4300-48p,18.1R3-S12.1,PD3715310281:,
DCG000055,S005-Burgess-IT-2fl-3,10.100.129.95,172.27.73.4,Juniper,1,ex4300-48p,18.1R3-S12.1,PD3715310002:,
DCG000056,S005-Burgess-IT-3fl-1,10.100.129.89,172.27.74.4,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3715160345:PD3715310593:,
DCG000057,S005-Burgess-IT-3fl-2,10.100.129.90,172.27.75.4,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3715310457:PD3715310020:,
DCG000058,S005-Burgess-IT-3fl-3,10.100.129.91,172.27.76.4,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3715310452:PD3715310654:,
DCG000059,S005-Burgess-IT-3fl-4,10.100.129.92,172.27.78.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0214360855:GB0213347814:,
DCG000060,S005-Burgess-IT-Network-Test,10.100.129.129,172.27.78.5,Juniper,1,ex4300-48p,18.1R3-S12.1,PD3715030167:,
DCG000061,S005-Burgess-IT-4fl-Helo,10.100.129.145,172.31.32.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0215090548:,
DCG000062,S008-Fleet-Maintain-B-Hub,10.100.129.46,172.31.239.248,Juniper,1,ex4300-48p,18.1R3-S12.1,PD3714040059:,
DCG000063,S009-Roadhaven-Hub,10.100.129.57,172.31.239.209,Juniper,1,ex4600-40f,18.4R3-S11.1,TC3715270055:,
DCG000064,S009-Roadhaven-DataCtr3-VMWare,10.100.129.60,172.28.206.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214370122:,
DCG000065,S009-Roadhaven-MaintShop,10.100.129.65,172.28.209.4,Juniper,1,ex3300-48t,15.1R7-S8.1,GA0213420574:,
DCG000066,S009-Roadhaven-SwitchRm,10.100.129.64,172.28.201.5,Juniper,1,ex3400-24p,18.2R3-S7.4,NW3619450887:,
DCG000067,S009-Roadhaven-Data-Ctr4,10.100.128.40,172.28.201.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0215250370:,
DCG000068,S009-Roadhaven-Admin-1fl,10.100.129.55,172.28.203.4,Juniper,2,ex3300-48p,15.1R7-S8.1,GB0216050275:GB0215070123:,
DCG000069,S009-Roadhaven-Data-CM,10.100.129.59,172.28.205.8,Juniper,3,ex3300-48p,15.1R7-S8.1,GB0214320441:GB0214320851:GB0214320455:,
DCG000070,S009-Roadhaven-Warehouse,10.100.129.62,172.28.207.4,Juniper,1,ex3400-48p,18.2R3-S7.4,NY0217510015:,
DCG000071,S009-Roadhaven-Data-Ctr1,10.100.129.61,172.28.200.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214320357:,
DCG000072,S009-Roadhaven-Annex,10.100.129.63,172.28.208.1,Juniper,3,ex3300-48p,15.1R7-S8.1,GB0214320837:GB0214135899:GB0214321074:,
DCG000073,S009-Roadhaven-Telemetry,10.100.129.104,172.28.200.21,Juniper,1,Juniper SRX220H2 Internet Router,JUNOS Software Release [12.1X46-D45.4],CF0416AK0057:,
DCG000074,S015-Code-Enforcement-1fl,10.100.129.84,172.23.6.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214490053:,
DCG000075,S015-Code-Enforcement-2fl,10.100.129.85,172.23.6.5,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0214320988:,
DCG000076,S016-East-Precinct-MDF,10.100.128.128,172.30.216.1,Juniper,2,ex4300-48p,18.1R3-S12.1,PD3717510264:PD3713320089:,
DCG000077,S016-East-Precinct-Trailer-1,10.100.128.130,172.30.213.4,Juniper,1,ex2200-24p-4g,15.1R5.5,CV0216280504:,
DCG000078,S016-East-Precinct-Trailer-2,10.100.128.131,172.30.213.5,Juniper,1,ex2200-24p-4g,15.1R5.5,CV0216280326:,
DCG000079,S016-East-Precinct,10.100.128.134,172.30.214.4,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0215381004:,
DCG000080,S016-East-Precinct-Comp-Lab,10.100.128.127,172.30.224.4,Juniper,1,ex2300-24p,15.1X53-D593.4,JY0218340390:,
DCG000081,S018-Chestnut-Park,10.100.128.198,172.27.102.1,Juniper,1,ex3400-48p,18.2R3-S7.4,NY3619501349:,
DCG000083,S021-Road-Drain-Admin,10.100.128.218,172.27.21.1,Juniper,1,ex3400-48p,18.2R3-S7.4,NY0217510266:,
DCG000084,S021-Road-Drain-729A-1,10.100.128.216,172.27.19.1,Juniper,2,ex3400-24p,18.2R3-S7.4,NW0217500268:NW0217500275:,
DCG000087,S122-RD-Sign-Shop,10.100.128.220,172.27.28.1,Juniper,1,ex3400-24p,18.2R3-S7.4,NW0217390111:,
DCG000088,S021-Road-Drain-729B,10.100.128.219,172.27.25.1,Juniper,1,ex3400-48p,18.2R3-S7.4,NY3620200463:,
DCG000089,S021-Road-Drain-YardBldg,10.100.129.86,172.27.25.5,Juniper,1,ex2300-c-12p,15.1X53-D593.4,HV0217130111:,
DCG000091,S021-Road-Drain-727A,10.100.128.96,172.27.23.1,Juniper,2,ex3400-24p,18.2R3-S7.4,NW0217500245:NY3619501273:,
DCG000092,S022-Callanwolde-VPN,10.100.129.80,172.21.35.1,Juniper,1,Juniper SRX220H2 Internet Router,JUNOS Software Release [12.1X46-D40.2],CF4715AK0305:,
DCG000093,S044-Dispute-Resolution,10.100.128.240,172.26.6.1,Juniper,1,ex3400-24p,18.2R3-S7.4,NW3619450037:,
DCG000094,S036-Records-Center,10.100.128.242,172.27.52.1,Juniper,1,ex3300-24p,15.1R7-S8.1,GE0215146961:,
DCG000095,S041-Mason-Mill-Park-2,10.100.128.247,172.21.7.4,Juniper,1,ex2300-c-12p,15.1X53-D593.4,HV0218020436:,
DCG000096,S041-Mason-Mill-Park-1,10.100.129.132,172.21.7.1,Juniper,1,ex2200-48p-4g,15.1R5.5,CT0212110916:,
DCG000097,S042-Human-Services,10.100.128.248,172.23.40.1,Juniper,3,ex3300-48p,15.1R7-S8.1,GB0216390541:GB0217230927:GB0215310634:,
DCG000098,S043-Atl-Senior,10.100.128.249,172.23.80.1,Juniper,1,ex2300-48p,15.1X53-D592.1,JW0218440009:,
DCG000099,S043-Kirkwood-Mental,10.100.128.250,172.23.60.1,Juniper,1,ex2200-c-12p-2g,15.1R5.5,GR0215116030:,
DCG000100,S044-DA-Office-1,10.100.128.2,172.20.15.1,Juniper,1,ex3300-48p,15.1R7-S8.1,GB0213294650:,
DCG000102,S046-Eleanor-Health,10.100.129.1,172.26.50.1,Juniper,1,ex2300-c-12p,15.1X53-D593.4,HV0216480646:,
DCG000103,S050-FS-1,10.100.129.9,172.21.31.1,Juniper,1,ex2300-c-12p,15.1X53-D593.4,HV0218500425:,
DCG000104,S051-FS-2,10.100.129.10,172.22.42.1,Juniper,1,ex2300-c-12p,18.2R3-S7.4,HV3619090665:,
DCG000105,S052-FS-3,10.100.129.11,172.27.40.1,Juniper,1,ex3400-24p,18.2R3-S7.4,NW0217500307:,
